15-09-2026---01-32-46, TTP, Adaptive, Avg: 4730.7777, Std.Dev: 8903.7538 (N=5)
15-09-2026---09-35-54, TTP, Adaptive, Avg: 1319.4988, Std.Dev: 5514.1760 (N=5)
15-09-2026---10-56-25, TTP, Adaptive, Avg: 3337.1565, Std.Dev: 5514.9966 (N=5)
15-09-2026---01-01-20, TTP, Adaptive, Avg: 2375.0776, Std.Dev: 5310.8349 (N=5)
15-09-2026---09-26-43, TTP, Adaptive, Avg: 3180.3226, Std.Dev: 5345.0225 (N=5)
15-09-2026---10-59-37, TTP, Adaptive, Avg: 2187.3600, Std.Dev: 4891.0856 (N=5)
15-09-2026---13-42-47, TTP, Adaptive, Avg: 2938.8087, Std.Dev: 4610.3149 (N=5)

15-09-2026---01-32-46, TTP, TwoForwardOneBack, Avg: 468.1674, Std.Dev: 4085.6070 (N=5)
15-09-2026---09-35-54, TTP, TwoForwardOneBack, Avg: -664.5469, Std.Dev: 981.9463 (N=5)
15-09-2026---10-56-25, TTP, TwoForwardOneBack, Avg: 931.0282, Std.Dev: 2896.2624 (N=5)
15-09-2026---01-01-20, TTP, TwoForwardOneBack, Avg: 1347.2655, Std.Dev: 4253.2586 (N=5)
15-09-2026---09-26-43, TTP, TwoForwardOneBack, Avg: -597.3188, Std.Dev: 1064.3055 (N=5)
15-09-2026---10-59-37, TTP, TwoForwardOneBack, Avg: 1223.8795, Std.Dev: 3059.9283 (N=5)
15-09-2026---13-42-47, TTP, TwoForwardOneBack, Avg: 1081.9143, Std.Dev: 2770.8689 (N=5)



